Geneid,Auxin1,Auxin2,Control1,Control2
FBgn0015286,1740,1834,1690,1752
FBgn0023216,544,637,516,569
FBgn0029672,360,406,365,415
FBgn0052791,203,185,256,235
FBgn0029667,33,46,24,42
FBgn0029665,92,101,91,99
FBgn0029663,53,56,26,23
FBgn0052785,7506,8495,10906,11680
FBgn0025118,4432,5498,5388,6147
FBgn0028491,3157,2789,2206,1933
FBgn0029681,32,22,20,19
FBgn0029686,557,603,503,548
FBgn0052786,372,407,334,354
FBgn0052783,372,406,336,356
FBgn0029687,544,564,522,557
FBgn0029690,0,0,1,0
FBgn0029689,904,927,840,958
FBgn0029688,721,894,756,909
FBgn0029685,605,741,574,635
FBgn0019661,27,26,23,16
FBgn0029694,1,1,0,1
FBgn0000221,216,212,182,189
FBgn0026084,2974,3044,2934,2984
FBgn0026085,103,90,71,79
FBgn0026083,1591,1802,1421,1532
FBgn0066114,261,292,223,278
FBgn0029697,0,0,0,0
FBgn0029701,0,0,0,0
FBgn0029702,0,0,0,0
FBgn0029706,313,298,302,326
FBgn0029705,1,1,1,1
FBgn0040907,159,177,143,151
FBgn0002707,302,376,235,234
FBgn0040906,19,9,10,7
FBgn0029703,1,2,1,0
FBgn0040905,41,30,19,7
FBgn0040904,22,23,7,9
FBgn0029700,15,13,7,6
FBgn0052774,46,23,14,11
FBgn0041252,13,12,1,5
FBgn0029696,6,3,1,1
FBgn0000635,649,704,682,762
FBgn0026080,424,482,409,404
FBgn0026079,265,298,269,330
FBgn0004832,112,121,109,86
FBgn0029693,383,418,276,314
FBgn0000179,70,84,77,69
FBgn0029708,7,8,10,6
FBgn0029709,407,528,438,501
FBgn0029710,60,61,36,51
FBgn0029712,55,51,61,65
FBgn0029714,250,311,226,310
FBgn0029716,10,8,14,9
FBgn0022768,746,797,745,722
FBgn0029715,219,288,244,224
FBgn0029713,152,149,131,136
FBgn0029711,296,324,257,290
FBgn0003210,446,514,396,481
FBgn0052773,4,3,0,2
FBgn0011760,2668,2847,2693,2864
FBgn0028325,514,547,520,542
FBgn0029722,240,252,149,186
FBgn0029727,1,0,1,0
FBgn0029729,0,0,1,0
FBgn0029730,0,1,0,0
FBgn0029733,0,0,1,0
FBgn0052772,414,466,474,429
FBgn0029737,395,450,321,360
FBgn0004368,2783,3026,2542,2706
FBgn0029740,0,0,0,0
FBgn0061196,0,0,0,0
FBgn0029728,0,0,0,0
FBgn0029726,0,0,0,0
FBgn0029725,1,4,3,9
FBgn0025679,0,2,1,1
FBgn0029724,8,4,7,6
FBgn0029745,0,4,1,1
FBgn0029746,0,0,0,0
FBgn0003449,163,189,167,153
FBgn0011761,17,17,17,15
FBgn0029753,0,0,0,0
FBgn0029755,177,189,197,186
FBgn0014024,305,268,273,298
FBgn0029754,21,22,14,13
FBgn0029752,31,26,33,27
FBgn0029751,94,76,84,78
FBgn0029750,26,12,9,21
FBgn0029747,11,17,8,6
FBgn0052767,998,1103,1055,981
FBgn0026751,371,497,298,339
FBgn0010014,50,47,39,34
FBgn0029761,83,70,104,77
FBgn0029763,698,779,644,798
FBgn0029765,28,33,38,35
FBgn0029766,3889,4713,3182,3707
FBgn0029768,1,2,2,3
FBgn0029770,2,0,0,2
FBgn0029771,989,1160,1060,1393
FBgn0026702,353,346,315,333
FBgn0004687,1034,1225,1098,1210
FBgn0029778,228,302,246,313
FBgn0052762,2,5,2,3
FBgn0029769,1,1,0,3
FBgn0029762,13,14,8,11
FBgn0029756,163,200,145,167
FBgn0028474,737,793,667,771
FBgn0029785,1857,2020,1840,2112
FBgn0003747,30,23,27,25
FBgn0000394,662,733,661,793
FBgn0029791,24,25,24,25
FBgn0029795,5,1,1,6
FBgn0029798,176,172,178,173
FBgn0029799,49,45,41,37
