Geneid,CHD1fem1,CHD1fem2,OREfem1,OREfem2
FBgn0000092,13,6,14,10
FBgn0025838,0,0,6,2
FBgn0011276,8,8,11,13
FBgn0004647,507,286,715,543
FBgn0040396,28,20,94,46
FBgn0000479,1773,906,4290,3511
FBgn0002933,4,0,2,2
FBgn0003374,7,2,5,10
FBgn0029660,6,6,30,23
FBgn0029662,15,4,30,40
FBgn0029661,4,2,10,18
FBgn0029659,2,4,6,22
FBgn0029658,0,0,2,0
FBgn0052493,0,0,0,0
FBgn0029657,6,8,22,36
FBgn0003086,7,6,8,11
FBgn0010296,1,0,4,0
FBgn0010295,2,2,4,6
FBgn0010294,2,0,2,0
FBgn0040393,2,4,12,4
FBgn0000644,0,0,6,2
FBgn0028746,14,21,82,38
FBgn0040355,6,0,14,6
FBgn0052793,2,5,21,34
FBgn0029642,2,3,2,6
FBgn0025645,8,6,16,4
FBgn0029643,4,8,10,16
FBgn0029644,6,4,12,4
FBgn0029645,0,0,14,7
FBgn0029646,4,2,14,12
FBgn0029647,4,2,12,0
FBgn0029648,35,14,32,26
FBgn0028369,231,105,606,528
FBgn0029649,0,0,4,0
FBgn0003285,154,67,300,209
FBgn0025644,4,2,9,5
FBgn0029639,86,77,334,155
FBgn0040354,0,4,26,23
FBgn0040353,12,4,17,7
FBgn0040352,0,2,17,10
FBgn0029664,52,36,99,112
FBgn0029666,173,93,500,363
FBgn0029669,0,4,2,6
FBgn0052792,9,2,36,30
FBgn0044046,7,4,2,4
FBgn0023215,1010,461,2022,1271
FBgn0015286,230,134,467,325
FBgn0023216,72,43,130,150
FBgn0029672,31,22,141,88
FBgn0052791,102,59,386,292
FBgn0029667,8,9,22,25
FBgn0029665,12,20,70,50
FBgn0029663,305,162,747,633
FBgn0052785,0,0,0,0
FBgn0025118,0,0,1,2
FBgn0028491,79,45,97,65
FBgn0029681,2,2,4,16
FBgn0029686,25,29,36,51
FBgn0052786,1,0,0,1
FBgn0052783,0,0,3,4
FBgn0029687,786,482,2469,1798
FBgn0029690,0,0,0,0
FBgn0029689,61,60,127,144
FBgn0029688,1901,1130,3511,2992
FBgn0029685,152,95,253,193
FBgn0019661,55,79,122,112
FBgn0029694,0,0,2,0
FBgn0000221,20,12,36,28
FBgn0026084,144,108,308,240
FBgn0026085,2,0,6,0
FBgn0026083,1801,955,3278,2800
FBgn0066114,50,42,137,124
FBgn0029697,0,0,4,0
FBgn0029701,0,0,0,0
FBgn0029702,0,0,0,0
FBgn0029706,234,120,290,307
FBgn0029705,15,18,36,26
FBgn0040907,10,9,32,30
FBgn0002707,54,26,99,77
FBgn0040906,2,2,9,3
FBgn0029703,0,0,0,2
FBgn0040905,0,0,0,0
FBgn0040904,2,0,0,0
FBgn0029700,0,0,0,0
FBgn0052774,0,0,0,0
FBgn0041252,0,0,0,0
FBgn0029696,0,0,2,0
FBgn0000635,705,402,1350,1083
FBgn0026080,82,37,127,149
FBgn0026079,54,48,152,124
FBgn0004832,22,12,60,41
FBgn0029693,133,84,383,299
FBgn0000179,315,161,669,562
FBgn0029708,384,236,977,793
FBgn0029709,124,74,286,256
FBgn0029710,9,4,34,36
FBgn0029712,2,8,23,8
FBgn0029714,16,16,73,64
FBgn0029716,2,0,0,0
FBgn0022768,873,517,1686,1274
FBgn0029715,72,88,336,243
FBgn0029713,33,24,94,100
FBgn0029711,192,127,406,331
FBgn0003210,486,271,855,681
FBgn0052773,8,0,9,5
FBgn0011760,1025,531,3576,2461
FBgn0028325,682,405,1898,1353
FBgn0029722,0,2,9,8
FBgn0029727,6,6,11,6
FBgn0029729,0,0,0,4
FBgn0029730,28,12,49,68
FBgn0029733,2,0,6,2
FBgn0052772,199,117,482,370
FBgn0029737,165,110,393,370
FBgn0004368,724,400,1314,942
FBgn0029740,2,2,2,6
FBgn0061196,0,0,0,2
FBgn0029728,4,2,14,6
FBgn0029726,2,0,2,4
FBgn0029725,4,6,3,0
FBgn0025679,0,2,8,14
FBgn0029724,2,2,2,6
FBgn0029745,17,15,16,38
FBgn0029746,0,0,0,0
