Geneid,CHD1fem1,CHD1fem2,CHD1male1,CHD1male2,OREfem1,OREfem2,OREmale1,OREmale2
FBgn0029706,234,120,434,132,290,307,592,512
FBgn0029705,15,18,44,16,36,26,102,68
FBgn0040907,10,9,14,8,32,30,21,38
FBgn0002707,54,26,126,35,99,77,148,129
FBgn0040906,2,2,4,0,9,3,8,6
FBgn0029703,0,0,0,0,0,2,0,2
FBgn0040905,0,0,0,0,0,0,0,0
FBgn0040904,2,0,0,0,0,0,0,0
FBgn0029700,0,0,0,0,0,0,0,0
FBgn0052774,0,0,0,0,0,0,0,0
FBgn0041252,0,0,0,0,0,0,0,2
FBgn0029696,0,0,0,0,2,0,0,0
FBgn0000635,705,402,1244,489,1350,1083,2145,1886
FBgn0026080,82,37,125,51,127,149,216,169
FBgn0026079,54,48,119,42,152,124,156,157
FBgn0004832,22,12,34,18,60,41,120,109
FBgn0029693,133,84,316,123,383,299,603,459
FBgn0000179,315,161,471,181,669,562,877,762
FBgn0029708,384,236,973,400,977,793,1722,1444
FBgn0029709,124,74,280,93,286,256,410,314
FBgn0029710,9,4,16,6,34,36,44,47
FBgn0029712,2,8,11,10,23,8,21,41
FBgn0029714,16,16,44,20,73,64,100,67
FBgn0029716,2,0,0,0,0,0,0,0
FBgn0022768,873,517,1375,467,1686,1274,2327,2030
FBgn0029715,72,88,178,101,336,243,278,317
FBgn0029713,33,24,89,25,94,100,183,123
FBgn0029711,192,127,355,140,406,331,507,421
FBgn0003210,486,271,831,375,855,681,1186,1111
FBgn0052773,8,0,4,0,9,5,8,12
FBgn0011760,1025,531,2372,1047,3576,2461,4420,4328
FBgn0028325,682,405,1296,493,1898,1353,2114,1916
FBgn0029722,0,2,8,4,9,8,30,29
FBgn0029727,6,6,12,0,11,6,12,14
FBgn0029729,0,0,0,0,0,4,0,0
FBgn0029730,28,12,43,16,49,68,87,78
FBgn0029733,2,0,2,0,6,2,6,2
FBgn0052772,199,117,449,156,482,370,737,609
FBgn0029737,165,110,386,111,393,370,606,546
FBgn0004368,724,400,1307,499,1314,942,2296,1778
FBgn0029740,2,2,0,0,2,6,0,3
FBgn0061196,0,0,0,0,0,2,0,2
FBgn0029728,4,2,14,4,14,6,12,24
FBgn0029726,2,0,2,0,2,4,0,6
FBgn0029725,4,6,4,0,3,0,5,0
FBgn0025679,0,2,2,0,8,14,4,2
FBgn0029724,2,2,8,0,2,6,2,8
FBgn0029745,17,15,31,14,16,38,38,41
FBgn0029746,0,0,0,0,0,0,0,0
FBgn0003449,44,30,74,42,136,150,173,134
FBgn0011761,0,0,2,0,0,0,0,0
FBgn0029753,0,0,0,0,0,2,2,0
FBgn0029755,34,14,68,28,86,74,103,86
FBgn0014024,170,111,337,129,374,265,457,391
FBgn0029754,0,0,0,2,0,0,0,0
FBgn0029752,2,0,0,0,0,2,4,4
FBgn0029751,2,0,4,0,13,2,10,10
FBgn0029750,2,0,4,0,18,19,10,3
FBgn0029747,86,47,175,41,219,191,266,249
FBgn0052767,1301,626,2457,803,2862,2145,4014,3438
FBgn0026751,26,21,84,31,105,68,217,171
FBgn0010014,134,108,325,153,373,313,558,591
FBgn0029761,1677,808,2975,1242,4400,3261,5249,5059
FBgn0029763,296,212,566,192,666,543,917,700
FBgn0029765,52,48,89,38,98,68,52,79
FBgn0029766,1342,1198,1072,514,751,428,587,456
FBgn0029768,84,41,258,95,188,182,499,416
FBgn0029770,2,0,0,0,2,4,0,4
FBgn0029771,63,45,141,31,108,77,187,158
FBgn0026702,20,14,24,4,54,23,66,72
FBgn0004687,318,190,539,225,606,458,691,621
FBgn0029778,63,56,114,30,95,105,166,140
FBgn0052762,0,0,2,0,4,0,3,4
FBgn0029769,139,180,196,66,454,298,284,261
FBgn0029762,230,143,379,108,522,367,764,678
FBgn0029756,68,23,131,26,103,80,202,165
